ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Crime_Year,Month,Day,Hour,Day_of_Week,Day_Name,Month_Name,Is_Weekend,Is_Late_Night,Is_Rush_Hour,Season,Time_of_Day,Crime_Severity,District_Crime_Count,Ward_Crime_Count,Primary_Type_Encoded,Time_of_Day_Encoded,Season_Encoded,Day_Name_Encoded,Latitude_Scaled,Longitude_Scaled,KMeans_Cluster,DBSCAN_Cluster,Hierarchical_Cluster,Final_Geo_Cluster
13625062,JH461120,2024-10-08 21:04:00,040XX N CICERO AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SMALL RETAIL STORE,0,0,1624,16,45,15,03,1143644.0,1926627.0,2024,05/17/2025 03:40:52 PM,41.954698652,-87.747338823,"(41.954698652, -87.747338823)",2024,10,8,21,1,Tuesday,October,0,0,0,Fall,Evening,4,17193,5339,26,1,0,5,1.2489675503941884,-1.3415558378475545,0,-1,-1,0
13944149,JJ386803,2025-08-23 19:40:00,051XX W WINNEMAC AVE,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,1,0,1623,16,45,11,18,1141122.0,1933094.0,2025,11/02/2025 03:41:09 PM,41.972491606,-87.75645016,"(41.972491606, -87.75645016)",2025,8,23,19,5,Saturday,August,1,0,1,Summer,Evening,3,17193,5339,17,1,2,2,1.4546247645455606,-1.4959645425735053,0,-1,-1,0
13987704,JJ439675,2025-10-04 03:00:00,001XX W ILLINOIS ST,0810,THEFT,OVER $500,SIDEWALK,0,0,1831,18,42,8,06,1175247.0,1903582.0,2025,11/02/2025 03:41:09 PM,41.890810511,-87.6318546,"(41.890810511, -87.6318546)",2025,10,4,3,5,Saturday,October,1,1,0,Fall,Night,2,26914,17860,29,3,0,2,0.5105259686664221,0.6155410503180249,0,-1,0,0
13913673,JJ349681,2025-07-26 04:00:00,072XX S ARTESIAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,832,8,18,66,14,1161293.0,1856663.0,2025,11/02/2025 03:41:09 PM,41.762360998,-87.684401972,"(41.762360998, -87.684401972)",2025,7,26,4,5,Saturday,July,1,0,0,Summer,Night,3,32658,7858,5,3,2,2,-0.9741386352368526,-0.2749727839611641,1,-1,-1,1
13513975,JH328694,2024-06-05 00:40:00,038XX N HOYNE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,0,0,1921,19,47,5,05,1161672.0,1925460.0,2024,05/17/2025 03:40:52 PM,41.951138948,-87.681097452,"(41.951138948, -87.681097452)",2024,6,5,0,2,Wednesday,June,0,1,0,Summer,Night,4,26728,5200,3,3,2,6,1.2078232408072105,-0.2189714909630627,0,-1,-1,0
13438488,JH236560,2024-04-23 14:30:00,063XX S SACRAMENTO AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,0,1,823,8,15,66,04A,1157473.0,1862480.0,2024,12/21/2024 03:40:46 PM,41.778401943,-87.698245486,"(41.778401943, -87.698245486)",2024,4,23,14,1,Tuesday,April,0,0,0,Spring,Afternoon,4,32658,7912,1,0,1,5,-0.7887317567019395,-0.5095771088365785,1,-1,-1,1
13562887,JH386985,2024-08-13 18:10:00,068XX S WASHTENAW AVE,0453,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,ALLEY,1,0,831,8,16,66,04B,1159555.0,1859181.0,2024,05/17/2025 03:40:52 PM,41.769306564,-87.690703078,"(41.769306564, -87.690703078)",2024,8,13,18,1,Tuesday,August,0,0,1,Summer,Evening,3,32658,15361,2,1,2,5,-0.8938593429808176,-0.3817568504270297,1,-1,-1,1
13624641,JH460520,2024-10-07 21:00:00,007XX W 19TH PL,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,0,0,1235,12,25,31,11,1171642.0,1890871.0,2024,05/17/2025 03:40:52 PM,41.856010738,-87.645467925,"(41.856010738, -87.645467925)",2024,10,7,21,0,Monday,October,0,0,0,Fall,Evening,2,31406,7929,8,1,0,1,0.1082979649139817,0.3848377100435604,0,-1,-1,0
13500612,JH312349,2024-06-19 07:35:00,118XX S PRINCETON AVE,4389,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,RESIDENCE - PORCH / HALLWAY,1,0,522,5,9,53,26,1176411.0,1826436.0,2024,05/17/2025 03:40:52 PM,41.679087709,-87.629897721,"(41.679087709, -87.629897721)",2024,6,19,7,2,Wednesday,June,0,0,1,Summer,Morning,1,19576,14943,22,2,2,6,-1.9366405688090291,0.6487040374508937,1,-1,-1,1
14063288,JJ531704,2025-12-22 22:22:00,103XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CONVENIENCE STORE,0,0,512,5,9,49,14,1178964.0,1836624.0,2025,12/30/2025 03:41:58 PM,41.706987456,-87.620244029,"(41.706987456, -87.620244029)",2025,12,22,22,0,Monday,December,0,1,0,Winter,Night,3,19576,14943,5,3,3,1,-1.6141654899914424,0.8123039654904874,1,0,-1,1
